replicate_id,cell_id,regime,gene_a_perturbed,gene_b_perturbed,guide_efficiency,latent_cell_state_proxy,expr_g1,expr_g2,expr_g3,expr_g4,included
rep-1,00-1-000,00,0,0,0.844924012,-0.980089457,1.606873295,1.270726829,0.085505582,2.579428218,1
rep-1,00-1-001,00,0,0,0.844924012,-0.487550396,1.427256839,1.123624884,0.969865206,2.446749386,1
rep-1,00-1-002,00,0,0,0.844924012,-0.749163420,1.943077500,1.156172991,0.474028799,2.548093289,1
rep-1,00-1-003,00,0,0,0.844924012,-0.521944516,1.534043590,1.076607825,0.765674515,2.064871028,1
rep-1,00-1-004,00,0,0,0.844924012,1.188732837,2.671931854,1.928855417,2.220855481,2.811962366,1
rep-1,00-1-005,00,0,0,0.844924012,-0.238604941,2.013846413,1.602015051,0.894616850,2.270463962,1
rep-1,00-1-006,00,0,0,0.844924012,-0.972718267,1.818777051,0.704283839,0.075591934,2.649988181,1
rep-1,00-1-007,00,0,0,0.844924012,-1.604272348,1.331440625,0.998247856,0.543393541,2.387892406,1
rep-1,00-1-008,00,0,0,0.844924012,-0.164852836,1.833476349,1.496734935,0.613126161,2.673160174,1
rep-1,00-1-009,00,0,0,0.844924012,0.714417459,2.525265908,1.561428841,1.195505285,2.987250135,1
rep-1,00-1-010,00,0,0,0.844924012,-0.248695852,2.467520758,1.557233790,1.530315362,2.764550472,1
rep-1,00-1-011,00,0,0,0.844924012,-1.011589807,0.909716143,1.427589041,1.098729114,2.580011937,1
rep-1,00-1-012,00,0,0,0.844924012,0.887636173,2.223349446,1.905481512,1.528173661,2.563492195,1
rep-1,00-1-013,00,0,0,0.844924012,0.420668405,2.317274915,1.994870189,0.734322519,2.334806277,1
rep-1,00-1-014,00,0,0,0.844924012,0.151988786,1.806566468,1.493378629,0.756653712,2.407677293,1
rep-1,00-1-015,00,0,0,0.844924012,-0.176787623,2.310285811,0.891232800,1.103300560,2.519114342,1
rep-1,00-1-016,00,0,0,0.844924012,0.724287579,2.156075174,1.731180545,0.645086449,2.461512567,1
rep-1,00-1-017,00,0,0,0.844924012,-1.765050409,1.676904774,1.238219523,-0.364163110,2.350527109,1
rep-1,00-1-018,00,0,0,0.844924012,1.545143788,3.026121266,2.461615725,1.761092956,2.649296352,1
rep-1,00-1-019,00,0,0,0.844924012,0.167396830,2.007471262,1.162230311,1.618593793,2.193849411,1
rep-1,00-1-020,00,0,0,0.844924012,1.432082147,2.704400843,2.113978353,1.477579333,2.298173990,1
rep-1,00-1-021,00,0,0,0.844924012,1.811995894,3.377622420,2.017118568,1.096536157,2.588019890,1
rep-1,00-1-022,00,0,0,0.844924012,0.231059402,2.246822153,1.164903376,1.864321975,2.771303582,1
rep-1,00-1-023,00,0,0,0.844924012,0.166182205,2.176418633,1.451913127,0.975257515,2.081658324,1
rep-1,00-1-024,00,0,0,0.844924012,-0.474519545,2.143789590,1.240970471,0.752231944,2.216011611,1
rep-1,00-1-025,00,0,0,0.844924012,0.379749211,2.406430652,1.698675835,2.030984908,2.235720630,1
rep-1,00-1-026,00,0,0,0.844924012,1.976500097,2.454789219,2.164943575,1.595396431,2.730335086,1
rep-1,00-1-027,00,0,0,0.844924012,-0.826918529,1.701543299,0.839940563,0.036137360,2.413514403,1
rep-1,00-1-028,00,0,0,0.844924012,0.522252374,2.176419280,1.930978228,0.831613267,2.769387094,1
rep-1,00-1-029,00,0,0,0.844924012,-0.555724601,1.793980812,0.988966226,0.160528974,2.675219302,1
rep-1,00-1-030,00,0,0,0.844924012,-0.880017660,2.023879529,1.158619007,0.647483353,2.603912706,1
rep-1,00-1-031,00,0,0,0.844924012,-1.117461688,1.670875167,1.120538734,0.076599998,2.190948065,1
rep-1,00-1-032,00,0,0,0.844924012,-1.022311692,1.748581601,1.296060523,0.410304314,2.309342398,1
rep-1,00-1-033,00,0,0,0.844924012,-0.046003173,1.712817342,1.477861699,1.146977936,2.191226148,1
rep-1,00-1-034,00,0,0,0.844924012,0.784284744,2.554976980,1.610427273,1.571413778,2.686716673,1
rep-1,00-1-035,00,0,0,0.844924012,-0.128884870,1.657935961,1.422627331,1.281501836,2.707963736,1
rep-1,00-1-036,00,0,0,0.844924012,-0.423457055,1.902430574,1.275650542,1.373363203,2.510997821,1
rep-1,00-1-037,00,0,0,0.844924012,-0.013746798,2.329338314,1.030911823,0.950321100,2.503501729,1
rep-1,00-1-038,00,0,0,0.844924012,0.502216815,2.793713443,1.604529410,0.613870442,2.918197217,1
rep-1,00-1-039,00,0,0,0.844924012,0.481659376,2.249070311,1.457741914,1.101697001,2.006537107,1
rep-2,00-2-000,00,0,0,0.829743641,1.336984381,2.061290044,2.137438684,1.454603936,2.116600432,1
rep-2,00-2-001,00,0,0,0.829743641,-0.111959500,2.377304720,1.813768099,0.965402483,2.392783907,1
rep-2,00-2-002,00,0,0,0.829743641,0.358113832,2.143189524,1.721479121,0.789199679,2.618706761,1
rep-2,00-2-003,00,0,0,0.829743641,-1.283835079,1.203769537,1.261285165,-0.179532419,2.570031061,1
rep-2,00-2-004,00,0,0,0.829743641,-0.351117265,1.989495320,1.428528915,0.386712609,2.768165374,1
rep-2,00-2-005,00,0,0,0.829743641,-0.476138388,1.953787076,1.465294497,0.750656901,2.328899090,1
rep-2,00-2-006,00,0,0,0.829743641,-0.778942838,1.790911154,1.386047300,0.865523250,2.403360018,1
rep-2,00-2-007,00,0,0,0.829743641,-1.568899707,1.602103940,1.478629859,0.165490845,2.228563771,1
rep-2,00-2-008,00,0,0,0.829743641,-0.292427330,2.325845134,1.455468011,1.361409144,2.445024052,1
rep-2,00-2-009,00,0,0,0.829743641,-0.943436092,1.845772317,1.642661207,0.105585893,2.101242676,1
rep-2,00-2-010,00,0,0,0.829743641,-0.507926400,1.764953954,1.451639650,0.009543960,2.774146837,1
rep-2,00-2-011,00,0,0,0.829743641,0.449251781,2.357549852,1.825459227,1.095341706,2.415672734,1
rep-2,00-2-012,00,0,0,0.829743641,-0.835973885,2.193433215,0.797598212,-0.001084543,2.127154696,1
rep-2,00-2-013,00,0,0,0.829743641,-1.607412012,1.262086430,0.678741888,0.295341624,2.932272687,1
rep-2,00-2-014,00,0,0,0.829743641,0.003706596,1.639067743,1.347843509,0.887614095,2.331066557,1
rep-2,00-2-015,00,0,0,0.829743641,-0.104235424,2.197004627,1.366914811,1.855451664,2.215303150,1
rep-2,00-2-016,00,0,0,0.829743641,-0.753660403,1.681067981,1.366872064,0.441455556,2.068322058,1
rep-2,00-2-017,00,0,0,0.829743641,0.504342150,1.966712466,1.826026250,1.059606169,2.327583501,1
rep-2,00-2-018,00,0,0,0.829743641,-0.711275506,1.697873175,1.851233071,0.815281800,2.535084454,1
rep-2,00-2-019,00,0,0,0.829743641,0.135957599,1.658557741,1.196746307,1.191636159,2.399614788,1
rep-2,00-2-020,00,0,0,0.829743641,1.256074596,3.175682796,1.767064528,1.694335138,2.631449644,1
rep-2,00-2-021,00,0,0,0.829743641,-1.321378848,1.634882527,1.301703497,-0.044708100,2.412713146,1
rep-2,00-2-022,00,0,0,0.829743641,0.797665009,2.786800580,1.797330522,1.486681165,2.501405990,1
rep-2,00-2-023,00,0,0,0.829743641,0.677063630,2.811221104,1.418520358,0.795628557,2.098023086,1
rep-2,00-2-024,00,0,0,0.829743641,1.000600861,3.184054747,1.638366921,1.542280865,2.329486255,1
rep-2,00-2-025,00,0,0,0.829743641,-0.981242226,1.160162967,1.560135158,0.982647735,2.824609640,1
rep-2,00-2-026,00,0,0,0.829743641,-0.747389370,1.791736838,1.447590895,0.503161878,1.885055893,1
rep-2,00-2-027,00,0,0,0.829743641,-1.191869256,1.045189531,1.389294872,0.571826388,2.013308078,1
rep-2,00-2-028,00,0,0,0.829743641,-0.755288089,1.740702812,1.439978934,0.820424957,2.445898222,1
rep-2,00-2-029,00,0,0,0.829743641,-0.731571615,2.584211415,1.747488807,0.640975155,2.494463372,1
rep-2,00-2-030,00,0,0,0.829743641,0.662176746,2.523750470,1.855814769,1.528017054,2.222786769,1
rep-2,00-2-031,00,0,0,0.829743641,-0.832882320,1.422945819,1.212813604,0.045708897,2.077053862,1
rep-2,00-2-032,00,0,0,0.829743641,0.821297151,2.546724119,1.949536496,1.028611651,2.219789377,1
rep-2,00-2-033,00,0,0,0.829743641,0.462495952,1.765235235,1.543881867,1.686658593,2.358733700,1
rep-2,00-2-034,00,0,0,0.829743641,-1.613820111,1.774437904,0.691575349,0.219023038,2.428299680,1
rep-2,00-2-035,00,0,0,0.829743641,1.916339157,2.831656796,2.127330776,0.892923066,2.105470197,1
rep-2,00-2-036,00,0,0,0.829743641,-0.289738432,2.090868730,1.701337611,0.675103080,2.371067939,1
rep-2,00-2-037,00,0,0,0.829743641,0.282470262,2.060201169,1.690458926,1.148077548,2.659710825,1
rep-2,00-2-038,00,0,0,0.829743641,1.122609147,1.977310471,2.106658809,1.833598479,1.989862730,1
rep-2,00-2-039,00,0,0,0.829743641,-1.948579250,1.025057712,1.503075510,-0.235853392,2.624237147,1
