cluster_id,drive,level,voltage,current
voltagehigh0,voltage,high,12.00,12.00
voltagelow0,voltage,low,2.00,2.00
currenthigh0,current,high,12.00,12.00
currentlow0,current,low,2.00,2.00
voltagehigh1,voltage,high,12.02,12.02
voltagelow1,voltage,low,2.02,2.02
currenthigh1,current,high,12.02,12.02
currentlow1,current,low,2.02,2.02
voltagehigh2,voltage,high,12.04,12.04
voltagelow2,voltage,low,2.04,2.04
currenthigh2,current,high,12.04,12.04
currentlow2,current,low,2.04,2.04
voltagehigh3,voltage,high,12.06,12.06
voltagelow3,voltage,low,2.06,2.06
currenthigh3,current,high,12.06,12.06
currentlow3,current,low,2.06,2.06
voltagehigh4,voltage,high,12.08,12.08
voltagelow4,voltage,low,2.08,2.08
currenthigh4,current,high,12.08,12.08
currentlow4,current,low,2.08,2.08
voltagehigh5,voltage,high,12.00,12.00
voltagelow5,voltage,low,2.00,2.00
currenthigh5,current,high,12.00,12.00
currentlow5,current,low,2.00,2.00
voltagehigh6,voltage,high,12.02,12.02
voltagelow6,voltage,low,2.02,2.02
currenthigh6,current,high,12.02,12.02
currentlow6,current,low,2.02,2.02
voltagehigh7,voltage,high,12.04,12.04
voltagelow7,voltage,low,2.04,2.04
currenthigh7,current,high,12.04,12.04
currentlow7,current,low,2.04,2.04
voltagehigh8,voltage,high,12.06,12.06
voltagelow8,voltage,low,2.06,2.06
currenthigh8,current,high,12.06,12.06
currentlow8,current,low,2.06,2.06
voltagehigh9,voltage,high,12.08,12.08
voltagelow9,voltage,low,2.08,2.08
currenthigh9,current,high,12.08,12.08
currentlow9,current,low,2.08,2.08
voltagehigh10,voltage,high,12.00,12.00
voltagelow10,voltage,low,2.00,2.00
currenthigh10,current,high,12.00,12.00
currentlow10,current,low,2.00,2.00
voltagehigh11,voltage,high,12.02,12.02
voltagelow11,voltage,low,2.02,2.02
currenthigh11,current,high,12.02,12.02
currentlow11,current,low,2.02,2.02
voltagehigh12,voltage,high,12.04,12.04
voltagelow12,voltage,low,2.04,2.04
currenthigh12,current,high,12.04,12.04
currentlow12,current,low,2.04,2.04
voltagehigh13,voltage,high,12.06,12.06
voltagelow13,voltage,low,2.06,2.06
currenthigh13,current,high,12.06,12.06
currentlow13,current,low,2.06,2.06
voltagehigh14,voltage,high,12.08,12.08
voltagelow14,voltage,low,2.08,2.08
currenthigh14,current,high,12.08,12.08
currentlow14,current,low,2.08,2.08
voltagehigh15,voltage,high,12.00,12.00
voltagelow15,voltage,low,2.00,2.00
currenthigh15,current,high,12.00,12.00
currentlow15,current,low,2.00,2.00
